investor_parent_clean,Company.Common.Name,Investor.Shares.Held,Holdings.Pct.Of.Traded.Shares.Held,value_held
"Mirae Asset Global Investments Co., Ltd.",AGCO Corp,528,7.00E-04,60149.76
Mirova,AGCO Corp,5417,0.0075,617104.64
Mirova US LLC,AGCO Corp,1586652,2.1913,180751395.8
Mitsubishi UFJ,AGCO Corp,20597,0.0284,2346410.24
Morgan Stanley,AGCO Corp,267082,0.3689,30425981.44
Mutual of America Capital Management LLC,AGCO Corp,23029,0.0318,2623463.68
"NBC Securities, Inc.",AGCO Corp,4396,0.0061,500792.32
NBT Bank N.A.,AGCO Corp,10,0,1139.2
"NFJ Investment Group, LLC",AGCO Corp,97174,0.1342,11070062.08
"NH-Amundi Asset Management Co., Ltd.",AGCO Corp,393,5.00E-04,44770.56
"NISA Investment Advisors, L.L.C.",AGCO Corp,21180,0.0293,2412825.6
Natixis Alternative Investments (US) Inc.,AGCO Corp,721,0.001,82136.32
Natixis Investment Managers SA,AGCO Corp,12192,0.0168,1388912.64
Neo Ivy Capital Management LLC,AGCO Corp,20070,0.0277,2286374.4
Neuberger Berman,AGCO Corp,10307,0.0143,1174173.44
New Jersey Division of Investment,AGCO Corp,22872,0.0316,2605578.24
New Mexico Educational Retirement Board,AGCO Corp,12700,0.0175,1446784
"New York Life Investment Management, LLC",AGCO Corp,7637,0.0105,870007.04
New York State Common Retirement Fund,AGCO Corp,37832,0.0522,4309821.44
New York State Teachers' Retirement System,AGCO Corp,61718,0.0852,7030914.56
"NewEdge Advisors, LLC",AGCO Corp,88,1.00E-04,10024.96
"Newbridge Financial Services Group, Inc.",AGCO Corp,17,0,1936.64
"Newton Investment Management North America, LLC",AGCO Corp,2158,0.003,245839.36
"Ninety One North America, Inc.",AGCO Corp,100078,0.1382,11400885.76
Ninety One UK Limited,AGCO Corp,628947,0.8686,71649642.24
Nomura,AGCO Corp,22860,0.0316,2604211.2
Norges Bank Investment Management (NBIM),AGCO Corp,749637,1.0353,85398647.04
North Dakota State Investment Board,AGCO Corp,1813,0.0025,206536.96
Northern Trust Global Investments,AGCO Corp,16125,0.0223,1836960
Northern Trust Global Investments Limited,AGCO Corp,47792,0.066,5444464.64
"Northern Trust Investments, Inc.",AGCO Corp,430487,0.5945,49041079.04
"Northwestern Mutual Capital, LLC",AGCO Corp,164,2.00E-04,18682.88
Northwestern Mutual Investment Management Company LLC,AGCO Corp,13462,0.0186,1533591.04
"Nuveen Asset Management, LLC",AGCO Corp,10597,0.0146,1207210.24
Nuveen LLC,AGCO Corp,82435,0.1138,9390995.2
Nykredit Bank AS,AGCO Corp,2344,0.0032,267028.48
"O'Shaughnessy Asset Management, LLC",AGCO Corp,9401,0.013,1070961.92
OFI Invest Asset Management,AGCO Corp,11356,0.0157,1293675.52
OMERS Administration Corporation,AGCO Corp,7400,0.0102,843008
ORG Partners LLC,AGCO Corp,72,1.00E-04,8202.24
Oak Thistle LLC,AGCO Corp,17028,0.0235,1939829.76
Occudo Quantitative Strategies LP,AGCO Corp,18592,0.0257,2118000.64
"Ogorek Wealth Management, LLC",AGCO Corp,31,0,3531.52
Ohio Public Employees Retirement System,AGCO Corp,19551,0.027,2227249.92
Old Mutual Investment Group (South Africa) (Pty) Limited,AGCO Corp,1375,0.0019,156640
"Olstein Capital Management, L.P.",AGCO Corp,6500,0.009,740480
Oppenheimer Asset Management Inc.,AGCO Corp,13532,0.0187,1541565.44
"Optas, LLC",AGCO Corp,2387,0.0033,271927.04
Optimize Financial Inc,AGCO Corp,2835,0.0039,322963.2
Oregon Public Employees Retirement System,AGCO Corp,12321,0.017,1403608.32
"Orion Portfolio Solutions, LLC",AGCO Corp,2531,0.0035,288331.52
"Osaic Holdings, Inc.",AGCO Corp,6603,0.0091,752213.76
Ostrum Asset Management,AGCO Corp,43743,0.0604,4983202.56
Owl Creek Wealth Partners LLC,AGCO Corp,55,1.00E-04,6265.6
PGGM Vermogensbeheer B.V.,AGCO Corp,565774,0.7814,64452974.08
PGIM Fixed Income,AGCO Corp,390,5.00E-04,44428.8
PGIM Quantitative Solutions LLC,AGCO Corp,19577,0.027,2230211.84
PIMCO (US),AGCO Corp,2239,0.0031,255066.88
PNC Investments LLC,AGCO Corp,5151,0.0071,586801.92
"Pacer Advisors, Inc.",AGCO Corp,7139,0.0099,813274.88
"Parallel Advisors, LLC",AGCO Corp,2708,0.0037,308495.36
Parametric Portfolio Associates LLC,AGCO Corp,338190,0.4671,38526604.8
Parkside Financial Bank & Trust,AGCO Corp,150,2.00E-04,17088
"Parkworth Wealth Management, Inc",AGCO Corp,2,0,227.84
"Parvin Asset Management, LLC",AGCO Corp,1860,0.0026,211891.2
Pathstone,AGCO Corp,5747,0.0079,654698.24
Pennsylvania Public School Employees Retirement System,AGCO Corp,15057,0.0208,1715293.44
"Peregrine Capital Management, LLC",AGCO Corp,190,3.00E-04,21644.8
"Peterson Wealth Services, Inc.",AGCO Corp,7943,0.011,904866.56
Pictet Asset Management Ltd.,AGCO Corp,10425,0.0144,1187616
"Pinnacle Wealth Planning Services, Inc.",AGCO Corp,126,2.00E-04,14353.92
Polar Capital LLP,AGCO Corp,175177,0.2419,19956163.84
Police and Firemen's Retirement System of New Jersey,AGCO Corp,26837,0.0371,3057271.04
Porksen (Niels),AGCO Corp,6372,0.0088,725898.24
"Prelude Capital Management, LLC",AGCO Corp,2250,0.0031,256320
"Prescott Group Capital Management, LLC",AGCO Corp,5000,0.0069,569600
Principal Global Investors (Equity),AGCO Corp,605073,0.8356,68929916.16
Private Wealth Management,AGCO Corp,2111,0.0029,240485.12
ProFund Advisors LLC,AGCO Corp,1221,0.0017,139096.32
ProShare Advisors LLC,AGCO Corp,3599,0.005,409998.08
Prudential Financial Planning Services,AGCO Corp,21,0,2392.32
Public Employees' Retirement Association of CO,AGCO Corp,5284,0.0073,601953.28
Qtron Investments LLC,AGCO Corp,4132,0.0057,470717.44
Quadrant Family Wealth Advisors,AGCO Corp,1863,0.0026,212232.96
Quaker Wealth Management LLC,AGCO Corp,3,0,341.76
Quantinno Capital Management LP,AGCO Corp,492234,0.6798,56075297.28
Qube Research & Technologies Ltd,AGCO Corp,74633,0.1031,8502191.36
"Quent Capital, LLC",AGCO Corp,85,1.00E-04,9683.2
RBC,AGCO Corp,68646,0.0948,7820152.32
"ROOT FINANCIAL PARTNERS, LLC",AGCO Corp,295,4.00E-04,33606.4
Rafferty Asset Management LLC,AGCO Corp,995,0.0014,113350.4
Raleigh Capital Management Inc,AGCO Corp,32,0,3645.44
"Raymond James & Associates, Inc.",AGCO Corp,166885,0.2305,19011539.2
"Raymond James Financial Services Advisors, Inc.",AGCO Corp,5323,0.0074,606396.16
Raymond James Trust N.A.,AGCO Corp,6371,0.0088,725784.32
"Redwood Investment Management, LLC",AGCO Corp,9085,0.0125,1034963.2
Renaissance Technologies LLC,AGCO Corp,276700,0.3821,31521664
"Research Affiliates, LLC",AGCO Corp,42,1.00E-04,4784.64
"Retirement Wealth Solutions,LLC",AGCO Corp,5,0,569.6
Rhumbline Advisers Ltd. Partnership,AGCO Corp,167664,0.2316,19100282.88
Rialto Wealth Management LLC,AGCO Corp,15,0,1708.8
Ritholtz Wealth Management LLC,AGCO Corp,3455,0.0048,393593.6
River Global Investors LLP,AGCO Corp,12120,0.0167,1380710.4
"Riverbridge Partners, LLC",AGCO Corp,1454,0.002,165639.68
Robeco Institutional Asset Management B.V.,AGCO Corp,9135,0.0126,1040659.2
Robert W. Baird & Co. Inc.,AGCO Corp,7743,0.0107,882082.56
Rockefeller Capital Management,AGCO Corp,3719,0.0051,423668.48
"Ronald Blue Trust, Inc.",AGCO Corp,1543,0.0021,175778.56
"RoseCap Investment Advisors, LLC",AGCO Corp,500,7.00E-04,56960
"Rossby Financial, LCC",AGCO Corp,26,0,2961.92
Rothschild Investment Corporation,AGCO Corp,219,3.00E-04,24948.48
Royal London Asset Management Ltd.,AGCO Corp,1194008,1.649,136021391.4
Ruggie Wealth Management,AGCO Corp,150,2.00E-04,17088
Russell Investments Limited,AGCO Corp,160,2.00E-04,18227.2
Russell Investments Trust Company,AGCO Corp,170315,0.2352,19402284.8
"S & Company, Inc.",AGCO Corp,9325,0.0129,1062304
"SBI Securities Co., Ltd.",AGCO Corp,167,2.00E-04,19024.64
SCS Capital Management LLC,AGCO Corp,2000,0.0028,227840
SEB Investment Management AB,AGCO Corp,46600,0.0644,5308672
SEI Investments Management Corporation,AGCO Corp,146726,0.2026,16715025.92
"SG Americas Securities, L.L.C.",AGCO Corp,131152,0.1811,14940835.84
"SHP Wealth Management, LLC",AGCO Corp,2,0,227.84
SJS Investment Services,AGCO Corp,411,6.00E-04,46821.12
"Sachetta, LLC",AGCO Corp,1,0,113.92
"SageView Advisory Group, LLC_NLE",AGCO Corp,14,0,1594.88
Sagehorn (David M.),AGCO Corp,8039,0.0111,915802.88
"Salem Investment Counselors, Inc.",AGCO Corp,94,1.00E-04,10708.48
"Salomon and Ludwin, LLC",AGCO Corp,30,0,3417.6
Sandy Spring Bank,AGCO Corp,799,0.0011,91022.08
"Santander Private Banking Gestion, S.A., S.G.I.I.C.",AGCO Corp,100,1.00E-04,11392
Savant Wealth Management,AGCO Corp,3024,0.0042,344494.08
Schechter Investments,AGCO Corp,9906,0.0137,1128491.52
Schonfeld Strategic Advisors LLC,AGCO Corp,5738,0.0079,653672.96
Schroders,AGCO Corp,187963,0.2596,21412744.96
Schweizerische Nationalbank,AGCO Corp,125500,0.1733,14296960
"Schwerin Boyle Capital Management, Inc.",AGCO Corp,150336,0.2076,17126277.12
Scotia Capital Inc.,AGCO Corp,4103,0.0057,467413.76
Scottish Widows Unit Trust Managers Ltd,AGCO Corp,5801,0.008,660849.92
"Securian Asset Management, Inc.",AGCO Corp,4389,0.0061,499994.88
Security National Bank,AGCO Corp,574,8.00E-04,65390.08
"Seizert Capital Partners, L.L.C.",AGCO Corp,14573,0.0201,1660156.16
"Sequoia Financial Group, LLC",AGCO Corp,2865,0.004,326380.8
"Shayne & Jacobs, LLC",AGCO Corp,21760,0.0301,2478899.2
Shelton Capital Management,AGCO Corp,2042,0.0028,232624.64
"Signaturefd, LLC",AGCO Corp,700,0.001,79744
"Simplicity Wealth, LLC",AGCO Corp,1970,0.0027,224422.4
Smartleaf Asset Management LLC,AGCO Corp,344,5.00E-04,39188.48
Smithfield Trust Company,AGCO Corp,90,1.00E-04,10252.8
Sorbe (Brian James),AGCO Corp,2838,0.0039,323304.96
South Dakota Investment Council,AGCO Corp,4318,0.006,491906.56
"SouthernSun Asset Management, LLC",AGCO Corp,247276,0.3415,28169681.92
Sparinvest S.A.,AGCO Corp,900,0.0012,102528
Sparkline Capital LP,AGCO Corp,2118,0.0029,241282.56
SpiderRock Advisors LLC,AGCO Corp,72,1.00E-04,8202.24
"Spire Wealth Management, LLC",AGCO Corp,36,0,4101.12
Squarepoint Capital LLP,AGCO Corp,3040,0.0042,346316.8
Srinivasan (Mallika),AGCO Corp,12173865,16.8128,1386846701
"St. Germain Investment Management, Inc.",AGCO Corp,1125,0.0016,128160
State Street,AGCO Corp,2132860,2.9456,242975411.2
State Teachers Retirement System of Ohio,AGCO Corp,1484,0.002,169057.28
State of Wisconsin Investment Board,AGCO Corp,35057,0.0484,3993693.44
State of Wyoming,AGCO Corp,3431,0.0047,390859.52
Stephenson National Bank and Trust,AGCO Corp,890,0.0012,101388.8
"Sterling Capital Management, LLC",AGCO Corp,3935,0.0054,448275.2
"Steward Partners Investment Advisory, LLC",AGCO Corp,1049,0.0014,119502.08
"Stifel Independent Advisors, LLC",AGCO Corp,76,1.00E-04,8657.92
"Stifel, Nicolaus & Company, Incorporated",AGCO Corp,28095,0.0388,3200582.4
Strive Asset Management LLC,AGCO Corp,3904,0.0054,444743.68
"Sugarloaf Wealth Management, LLC",AGCO Corp,275,4.00E-04,31328
"Summit Trail Advisors, LLC",AGCO Corp,16047,0.0222,1828074.24
"Sunrise Financial Services, LLC",AGCO Corp,18,0,2050.56
"Susquehanna International Group, LLP",AGCO Corp,9545,0.0132,1087366.4
"Susquehanna Portfolio Strategies, LLC",AGCO Corp,79994,0.1105,9112916.48
Swedbank Robur Fonder AB,AGCO Corp,272300,0.3761,31020416
Swiss Life Asset Management,AGCO Corp,3690,0.0051,420364.8
Sygnia Asset Management,AGCO Corp,430,6.00E-04,48985.6
Syon Capital LLC,AGCO Corp,3482,0.0048,396669.44
"T. Rowe Price Associates, Inc.",AGCO Corp,5144052,7.1042,586010403.8
T. Rowe Price International Ltd,AGCO Corp,66178,0.0914,7538997.76
"T. Rowe Price Investment Management, Inc.",AGCO Corp,517336,0.7145,58934917.12
"T. Rowe Price Japan, Inc.",AGCO Corp,21601,0.0298,2460785.92
TCW Asset Management Company LLC,AGCO Corp,60289,0.0833,6868122.88
"TD Waterhouse Canada, Inc.",AGCO Corp,240,3.00E-04,27340.8
"TFC Financial Management, Inc.",AGCO Corp,5,0,569.6
Teacher Retirement System of Texas,AGCO Corp,11172,0.0154,1272714.24
Tectonic Advisors LLC,AGCO Corp,5160,0.0071,587827.2
Tennessee Consolidated Retirement System,AGCO Corp,21313,0.0294,2427976.96
The Commerce Trust Company,AGCO Corp,4795,0.0066,546246.4
"The Connable Office, Inc.",AGCO Corp,2255,0.0031,256889.6
"The MassMutual Trust Company, FSB",AGCO Corp,44,1.00E-04,5012.48
"The Mather Group, LLC",AGCO Corp,51,1.00E-04,5809.92
"The Private Trust Company, N.A.",AGCO Corp,156,2.00E-04,17771.52
The Quarry LP,AGCO Corp,605,8.00E-04,68921.6
The Retirement Systems of Alabama,AGCO Corp,110171,0.1522,12550680.32
The Treasurer of the State of North Carolina,AGCO Corp,26555,0.0367,3025145.6
"The Trust Company of Toledo, NA",AGCO Corp,212,3.00E-04,24151.04
The Trust Company of Vermont,AGCO Corp,350,5.00E-04,39872
Themes Management Company LLC,AGCO Corp,106,1.00E-04,12075.52
Thesis Asset Management Limited,AGCO Corp,2930,0.004,333785.6
"Thrivent Asset Management, LLC",AGCO Corp,61856,0.0854,7046635.52
Tidal Investments LLC,AGCO Corp,27382,0.0378,3119357.44
"Torren Management, LLC",AGCO Corp,6,0,683.52
Tower Research Capital LLC,AGCO Corp,3603,0.005,410453.76
Trexquant Investment LP,AGCO Corp,45668,0.0631,5202498.56
"Trillium Asset Management, LLC",AGCO Corp,1443,0.002,164386.56
Triumph Capital Management,AGCO Corp,50,1.00E-04,5696
"True Wealth Design, LLC",AGCO Corp,174,2.00E-04,19822.08
Truist Bank,AGCO Corp,4824,0.0067,549550.08
Tsien (Matthew),AGCO Corp,7379,0.0102,840615.68
Tucker Asset Management LLC,AGCO Corp,18,0,2050.56
Tudor Investment Corporation,AGCO Corp,54728,0.0756,6234613.76
Turas Capital Management LP,AGCO Corp,36500,0.0504,4158080
"Tweedy, Browne Company LLC",AGCO Corp,16647,0.023,1896426.24
"Twin Peaks Wealth Advisors, LLC",AGCO Corp,1,0,113.92
"Two Sigma Investments, LP",AGCO Corp,98549,0.1361,11226702.08
"U.S. Bancorp Asset Management, Inc.",AGCO Corp,1503,0.0021,171221.76
UBS,AGCO Corp,2210781,3.0533,251852171.5
"UMA Financial Services, Inc.",AGCO Corp,10,0,1139.2
"UMB Bank, NA",AGCO Corp,839,0.0012,95578.88
"Union Bancaire Privée, UBP SA",AGCO Corp,7581,0.0105,863627.52
Union Bank & Trust Company (Nebraska),AGCO Corp,105,1.00E-04,11961.6
Unison Advisors LLC,AGCO Corp,7808,0.0108,889487.36
"United Capital Financial Advisors, LLC",AGCO Corp,2088,0.0029,237864.96
Universal-Investment-Gesellschaft mbH,AGCO Corp,40943,0.0565,4664226.56
Utah Retirement Systems,AGCO Corp,3300,0.0046,375936
Valley National Advisers Inc.,AGCO Corp,146,2.00E-04,16632.32
Valued Wealth Advisors LLC,AGCO Corp,1,0,113.92
Van Eck Associates Corporation,AGCO Corp,231460,0.3197,26367923.2
VanEck Investments Ltd.,AGCO Corp,47318,0.0653,5390466.56
Vanguard,AGCO Corp,5881137,8.1222,669979127
"Vaughan Nelson Investment Management, L.P.",AGCO Corp,43881,0.0606,4998923.52
"Vermillion Wealth Management, Inc.",AGCO Corp,6,0,683.52
"Versant Capital Management, Inc.",AGCO Corp,3077,0.0042,350531.84
Versor Investments LP,AGCO Corp,2815,0.0039,320684.8
Vestcor Inc,AGCO Corp,5960,0.0082,678963.2
Victory Capital Management Inc.,AGCO Corp,2191147,3.0261,249615466.2
Virginia Retirement System,AGCO Corp,6950,0.0096,791744
"Voloridge Investment Management, LLC",AGCO Corp,96231,0.1329,10962635.52
Vontobel Asset Management AG,AGCO Corp,97,1.00E-04,11050.24
Vontobel Swiss Financial Advisers AG,AGCO Corp,53354,0.0737,6078087.68
Voya Investment Management LLC,AGCO Corp,16349,0.0226,1862478.08
"WEDGE Capital Management, L.L.P.",AGCO Corp,93528,0.1292,10654709.76
"WPG Financial Group, LLC",AGCO Corp,102,1.00E-04,11619.84
"Washington Capital Management, Inc.",AGCO Corp,3240,0.0045,369100.8
"Wealth Enhancement Advisory Services, LLC",AGCO Corp,10203,0.0141,1162325.76
Wealthcare Capital Partners LLC,AGCO Corp,1859,0.0026,211777.28
Weiss Asset Management,AGCO Corp,14315,0.0198,1630764.8
"Wellington Management Company, LLP",AGCO Corp,21800,0.0301,2483456
Wells Fargo,AGCO Corp,118151,0.1632,13459761.92
Whipplewood Advisors LLC,AGCO Corp,15,0,1708.8
"Whittier Trust Company of Nevada, Inc.",AGCO Corp,142,2.00E-04,16176.64
Wilmington Funds Management Corporation,AGCO Corp,595,8.00E-04,67782.4
"Wilmington Trust Investment Advisors, Inc.",AGCO Corp,228,3.00E-04,25973.76
Wilmington Trust Investment Management LLC,AGCO Corp,32374,0.0447,3688046.08
"Wilmington Trust, National Association",AGCO Corp,4755,0.0066,541689.6
XML Financial Group,AGCO Corp,13188,0.0182,1502376.96
XTX Markets LLC,AGCO Corp,13245,0.0183,1508870.4
"Xponance, Inc.",AGCO Corp,8011,0.0111,912613.12
Y-Intercept (Hong Kong) Ltd,AGCO Corp,49194,0.0679,5604180.48
Yousif Capital Management LLC,AGCO Corp,19351,0.0267,2204465.92
"ZRC Wealth Management, LLC",AGCO Corp,58,1.00E-04,6607.36
"Zions Capital Advisors, Inc.",AGCO Corp,6069,0.0084,691380.48
Zürcher Kantonalbank (Asset Management),AGCO Corp,24793,0.0342,2824418.56
"azValor Asset Management SGIIC, SAU",AGCO Corp,1895,0.0026,215878.4
"&Partners, LLC",Archer-Daniels-Midland Co,9430,0.002,719414.7
"1015 Capital Partners, LLC",Archer-Daniels-Midland Co,18,0,1373.22
10X Investments (Pty) Ltd.,Archer-Daniels-Midland Co,25250,0.0052,1926322.5
"1620 Investment Advisors, Inc.",Archer-Daniels-Midland Co,150,0,11443.5
"1919 Investment Counsel, LLC",Archer-Daniels-Midland Co,6127,0.0013,467428.83
"1st Source Corporation Investment Advisors, Inc.",Archer-Daniels-Midland Co,5757,0.0012,439201.53
3 Banken-Generali Investment-Gesellschaft mbH,Archer-Daniels-Midland Co,35423,0.0073,2702420.67
"3 Factor Indexing, LLC",Archer-Daniels-Midland Co,3,0,228.87
55IP,Archer-Daniels-Midland Co,2806,6.00E-04,214069.74
6 Meridian LLC,Archer-Daniels-Midland Co,12262,0.0025,935467.98
ABN AMRO Investment Solutions (AAIS),Archer-Daniels-Midland Co,32849,0.0068,2506050.21
AE Wealth Management LLC,Archer-Daniels-Midland Co,475824,0.0987,36300612.96
AEGON Investment Management B.V.,Archer-Daniels-Midland Co,13733,0.0028,1047690.57
AGW Capital Advisors,Archer-Daniels-Midland Co,55,0,4195.95
AHL Partners LLP,Archer-Daniels-Midland Co,75190,0.0156,5736245.1
"AMB Wealth, LLC",Archer-Daniels-Midland Co,26383,0.0055,2012759.07
APG Asset Management N.V.,Archer-Daniels-Midland Co,241176,0.05,18399317.04
APICIL Asset Management SA,Archer-Daniels-Midland Co,21794,0.0045,1662664.26
"AQR Capital Management, LLC",Archer-Daniels-Midland Co,1400100,0.2905,106813629
"AR Asset Management, Inc.",Archer-Daniels-Midland Co,10172,0.0021,776021.88
ARCA Fondi SGR S.p.A,Archer-Daniels-Midland Co,58430,0.0121,4457624.7
"ARMSTRONG ADVISORY GROUP, INC",Archer-Daniels-Midland Co,146,0,11138.34
ARVEST Funds AG,Archer-Daniels-Midland Co,3500,7.00E-04,267015
ASR Vermogensbeheer N.V.,Archer-Daniels-Midland Co,180533,0.0375,13772862.57
AXA Investment Managers UK Ltd.,Archer-Daniels-Midland Co,2094,4.00E-04,159751.26
"AXQ Capital, LP",Archer-Daniels-Midland Co,15560,0.0032,1187072.4
Abich Financial Wealth Management LLC,Archer-Daniels-Midland Co,5156,0.0011,393351.24
Abound Wealth Management LLC,Archer-Daniels-Midland Co,78,0,5950.62
Acadian Asset Management LLC,Archer-Daniels-Midland Co,500834,0.1039,38208625.86
"Accel Wealth Management, LLC",Archer-Daniels-Midland Co,9327,0.0019,711556.83
"Accordant Advisory Group, Inc.",Archer-Daniels-Midland Co,306,1.00E-04,23344.74
Accurate Wealth Management LLC,Archer-Daniels-Midland Co,3749,8.00E-04,286011.21
"Adage Capital Management, L.P.",Archer-Daniels-Midland Co,680492,0.1412,51914734.68
Adhesion Wealth Advisor Solutions,Archer-Daniels-Midland Co,11012,0.0023,840105.48
"Advanced Portfolio Management, LLC",Archer-Daniels-Midland Co,7314,0.0015,557985.06
AdvisorNet Wealth Partners,Archer-Daniels-Midland Co,823,2.00E-04,62786.67
"Advisors Asset Management, Inc.",Archer-Daniels-Midland Co,61696,0.0128,4706787.84
"Advisory Services Network, LLC",Archer-Daniels-Midland Co,7670,0.0016,585144.3
Advocate Investing Services LLC,Archer-Daniels-Midland Co,50,0,3814.5
Advyzon Investment Management LLC,Archer-Daniels-Midland Co,6603,0.0014,503742.87
Aegon Asset Management Ltd,Archer-Daniels-Midland Co,9667,0.002,737495.43
"Affinity Investment Advisors, LLC",Archer-Daniels-Midland Co,3690,8.00E-04,281510.1
Alaska Retirement Management Board,Archer-Daniels-Midland Co,61038,0.0127,4656589.02
Albion Financial Group,Archer-Daniels-Midland Co,1208,3.00E-04,92158.32
Algert Global LLC,Archer-Daniels-Midland Co,6730,0.0014,513431.7
AllianceBernstein L.P.,Archer-Daniels-Midland Co,606181,0.1258,46245548.49
Allianz,Archer-Daniels-Midland Co,64394,0.0134,4912618.26
"Allspring Global Investments, LLC",Archer-Daniels-Midland Co,20810,0.0043,1587594.9
Allstate Investments LLC,Archer-Daniels-Midland Co,49031,0.0102,3740574.99
"Allworth Financial, L.P.",Archer-Daniels-Midland Co,18543,0.0038,1414645.47
"Alpha Architect, LLC",Archer-Daniels-Midland Co,18293,0.0038,1395572.97
AlphaCentric Advisors LLC.,Archer-Daniels-Midland Co,2146,4.00E-04,163718.34
AlphaCore Wealth Advisory,Archer-Daniels-Midland Co,21947,0.0046,1674336.63
"AlphaSimplex Group, LLC",Archer-Daniels-Midland Co,742,2.00E-04,56607.18
"Alphamark Advisors, LLC",Archer-Daniels-Midland Co,285,1.00E-04,21742.65
AmFunds Management Berhad,Archer-Daniels-Midland Co,200,0,15258
Amalgamated Bank Institutional Asset Management & Custody,Archer-Daniels-Midland Co,97163,0.0202,7412565.27
"American Alpha Advisors, LLC",Archer-Daniels-Midland Co,5280,0.0011,402811.2
"American Assets Investment Management, LLC",Archer-Daniels-Midland Co,30830,0.0064,2352020.7
"American Capital Advisory, LLC",Archer-Daniels-Midland Co,17,0,1296.93
"American Century Investment Management, Inc.",Archer-Daniels-Midland Co,912451,0.1893,69610886.79
American National Bank & Trust,Archer-Daniels-Midland Co,1684,3.00E-04,128472.36
"Ameritas Advisory Services, LLC",Archer-Daniels-Midland Co,6238,0.0013,475897.02
"Ameritas Investment Partners, Inc.",Archer-Daniels-Midland Co,26733,0.0055,2039460.57
"Amova Asset Management Co., Ltd.",Archer-Daniels-Midland Co,30384,0.0063,2317995.36
Ampega Investment GmbH,Archer-Daniels-Midland Co,20200,0.0042,1541058
Amundi,Archer-Daniels-Midland Co,1949864,0.4046,148755124.6
"Anchor Investment Management, LLC",Archer-Daniels-Midland Co,39668,0.0082,3026271.72
